[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
Cached 10000 real images for FID -> output/fid_cache/valid_real_128
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/6 | Epoch 1/300 | alpha: 1.00 | D loss: -1.2262 | G loss: 1.3770
  Step 1/6 | Epoch 2/300 | alpha: 1.00 | D loss: -0.6342 | G loss: 0.4478
  Step 1/6 | Epoch 3/300 | alpha: 1.00 | D loss: -0.3948 | G loss: -0.2412
  Step 1/6 | Epoch 4/300 | alpha: 1.00 | D loss: -0.3249 | G loss: -0.5039
  Step 1/6 | Epoch 5/300 | alpha: 1.00 | D loss: -0.1855 | G loss: -0.7295
  Step 1/6 | Epoch 6/300 | alpha: 1.00 | D loss: -0.1248 | G loss: -0.8890
  Step 1/6 | Epoch 7/300 | alpha: 1.00 | D loss: -0.0719 | G loss: -1.1172
  Step 1/6 | Epoch 8/300 | alpha: 1.00 | D loss: -0.0386 | G loss: -1.2529
  Step 1/6 | Epoch 9/300 | alpha: 1.00 | D loss: -0.0334 | G loss: -1.4954
  Step 1/6 | Epoch 10/300 | alpha: 1.00 | D loss: -0.0252 | G loss: -1.8401
  Step 1/6 | Epoch 11/300 | alpha: 1.00 | D loss: -0.0207 | G loss: -1.8521
  Step 1/6 | Epoch 12/300 | alpha: 1.00 | D loss: -0.0110 | G loss: -1.4355
  Step 1/6 | Epoch 13/300 | alpha: 1.00 | D loss: 0.0041 | G loss: -0.7933
  Step 1/6 | Epoch 14/300 | alpha: 1.00 | D loss: -0.0001 | G loss: -0.7095
  Step 1/6 | Epoch 15/300 | alpha: 1.00 | D loss: -0.0140 | G loss: -0.7596
  Step 1/6 | Epoch 16/300 | alpha: 1.00 | D loss: -0.0354 | G loss: -1.0426
  Step 1/6 | Epoch 17/300 | alpha: 1.00 | D loss: -0.0338 | G loss: -1.0484
  Step 1/6 | Epoch 18/300 | alpha: 1.00 | D loss: -0.0236 | G loss: -0.5704
  Step 1/6 | Epoch 19/300 | alpha: 1.00 | D loss: -0.0438 | G loss: -0.2173
  Step 1/6 | Epoch 20/300 | alpha: 1.00 | D loss: -0.0394 | G loss: -0.2374
  Step 1/6 | Epoch 21/300 | alpha: 1.00 | D loss: -0.0335 | G loss: 0.2106
  Step 1/6 | Epoch 22/300 | alpha: 1.00 | D loss: -0.0347 | G loss: 0.4408
  Step 1/6 | Epoch 23/300 | alpha: 1.00 | D loss: -0.0390 | G loss: 0.3059
  Step 1/6 | Epoch 24/300 | alpha: 1.00 | D loss: -0.0364 | G loss: 0.6469
  Step 1/6 | Epoch 25/300 | alpha: 1.00 | D loss: -0.0356 | G loss: 0.8133
  Step 1/6 | Epoch 26/300 | alpha: 1.00 | D loss: -0.0419 | G loss: 0.7771
  Step 1/6 | Epoch 27/300 | alpha: 1.00 | D loss: -0.0453 | G loss: 0.9813
  Step 1/6 | Epoch 28/300 | alpha: 1.00 | D loss: -0.0404 | G loss: 1.2093
  Step 1/6 | Epoch 29/300 | alpha: 1.00 | D loss: -0.0427 | G loss: 1.0541
  Step 1/6 | Epoch 30/300 | alpha: 1.00 | D loss: -0.0464 | G loss: 1.0094
  Step 1/6 | Epoch 31/300 | alpha: 1.00 | D loss: -0.0470 | G loss: 1.2792
  Step 1/6 | Epoch 32/300 | alpha: 1.00 | D loss: -0.0425 | G loss: 1.4165
  Step 1/6 | Epoch 33/300 | alpha: 1.00 | D loss: -0.0455 | G loss: 1.4016
  Step 1/6 | Epoch 34/300 | alpha: 1.00 | D loss: -0.0527 | G loss: 1.4761
  Step 1/6 | Epoch 35/300 | alpha: 1.00 | D loss: -0.0533 | G loss: 1.6767
  Step 1/6 | Epoch 36/300 | alpha: 1.00 | D loss: -0.0483 | G loss: 1.7695
  Step 1/6 | Epoch 37/300 | alpha: 1.00 | D loss: -0.0459 | G loss: 1.8112
  Step 1/6 | Epoch 38/300 | alpha: 1.00 | D loss: -0.0490 | G loss: 1.9567
  Step 1/6 | Epoch 39/300 | alpha: 1.00 | D loss: -0.0545 | G loss: 2.2132
  Step 1/6 | Epoch 40/300 | alpha: 1.00 | D loss: -0.0571 | G loss: 2.4190
  Step 1/6 | Epoch 41/300 | alpha: 1.00 | D loss: -0.0409 | G loss: 2.4375
  Step 1/6 | Epoch 42/300 | alpha: 1.00 | D loss: -0.0276 | G loss: 2.3078
  Step 1/6 | Epoch 43/300 | alpha: 1.00 | D loss: -0.0434 | G loss: 2.5725
  Step 1/6 | Epoch 44/300 | alpha: 1.00 | D loss: -0.0564 | G loss: 2.9275
  Step 1/6 | Epoch 45/300 | alpha: 1.00 | D loss: -0.0382 | G loss: 2.9599
  Step 1/6 | Epoch 46/300 | alpha: 1.00 | D loss: -0.0314 | G loss: 2.8526
  Step 1/6 | Epoch 47/300 | alpha: 1.00 | D loss: -0.0405 | G loss: 2.9732
  Step 1/6 | Epoch 48/300 | alpha: 1.00 | D loss: -0.0450 | G loss: 3.3839
  Step 1/6 | Epoch 49/300 | alpha: 1.00 | D loss: -0.0390 | G loss: 3.6125
  Step 1/6 | Epoch 50/300 | alpha: 1.00 | D loss: -0.0265 | G loss: 3.5984
  Step 1/6 | Epoch 51/300 | alpha: 1.00 | D loss: -0.0324 | G loss: 3.8044
  Step 1/6 | Epoch 52/300 | alpha: 1.00 | D loss: -0.0441 | G loss: 4.1271
  Step 1/6 | Epoch 53/300 | alpha: 1.00 | D loss: -0.0312 | G loss: 4.2992
  Step 1/6 | Epoch 54/300 | alpha: 1.00 | D loss: -0.0216 | G loss: 4.3633
  Step 1/6 | Epoch 55/300 | alpha: 1.00 | D loss: -0.0304 | G loss: 4.5162
  Step 1/6 | Epoch 56/300 | alpha: 1.00 | D loss: -0.0276 | G loss: 4.7603
  Step 1/6 | Epoch 57/300 | alpha: 1.00 | D loss: -0.0135 | G loss: 4.7808
  Step 1/6 | Epoch 58/300 | alpha: 1.00 | D loss: -0.0179 | G loss: 5.0128
  Step 1/6 | Epoch 59/300 | alpha: 1.00 | D loss: -0.0252 | G loss: 5.2055
  Step 1/6 | Epoch 60/300 | alpha: 1.00 | D loss: -0.0140 | G loss: 5.3551
  Step 1/6 | Epoch 61/300 | alpha: 1.00 | D loss: -0.0102 | G loss: 5.6499
  Step 1/6 | Epoch 62/300 | alpha: 1.00 | D loss: -0.0156 | G loss: 5.9085
  Step 1/6 | Epoch 63/300 | alpha: 1.00 | D loss: -0.0073 | G loss: 5.9725
  Step 1/6 | Epoch 64/300 | alpha: 1.00 | D loss: -0.0101 | G loss: 6.0632
  Step 1/6 | Epoch 65/300 | alpha: 1.00 | D loss: -0.0132 | G loss: 6.1234
  Step 1/6 | Epoch 66/300 | alpha: 1.00 | D loss: -0.0110 | G loss: 6.0790
  Step 1/6 | Epoch 67/300 | alpha: 1.00 | D loss: -0.0101 | G loss: 6.2499
  Step 1/6 | Epoch 68/300 | alpha: 1.00 | D loss: -0.0140 | G loss: 6.4929
  Step 1/6 | Epoch 69/300 | alpha: 1.00 | D loss: -0.0148 | G loss: 6.5907
  Step 1/6 | Epoch 70/300 | alpha: 1.00 | D loss: -0.0124 | G loss: 6.5712
  Step 1/6 | Epoch 71/300 | alpha: 1.00 | D loss: -0.0137 | G loss: 6.6154
  Step 1/6 | Epoch 72/300 | alpha: 1.00 | D loss: -0.0095 | G loss: 6.8494
  Step 1/6 | Epoch 73/300 | alpha: 1.00 | D loss: -0.0029 | G loss: 7.0102
  Step 1/6 | Epoch 74/300 | alpha: 1.00 | D loss: -0.0095 | G loss: 7.0374
  Step 1/6 | Epoch 75/300 | alpha: 1.00 | D loss: -0.0039 | G loss: 7.0610
  Step 1/6 | Epoch 76/300 | alpha: 1.00 | D loss: 0.0013 | G loss: 7.1472
  Step 1/6 | Epoch 77/300 | alpha: 1.00 | D loss: -0.0006 | G loss: 7.2418
  Step 1/6 | Epoch 78/300 | alpha: 1.00 | D loss: 0.0060 | G loss: 7.3836
  Step 1/6 | Epoch 79/300 | alpha: 1.00 | D loss: 0.0077 | G loss: 7.4382
  Step 1/6 | Epoch 80/300 | alpha: 1.00 | D loss: 0.0075 | G loss: 7.4654
  Step 1/6 | Epoch 81/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 7.4603
  Step 1/6 | Epoch 82/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 7.6060
  Step 1/6 | Epoch 83/300 | alpha: 1.00 | D loss: 0.0121 | G loss: 7.6989
  Step 1/6 | Epoch 84/300 | alpha: 1.00 | D loss: 0.0134 | G loss: 7.7384
  Step 1/6 | Epoch 85/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 7.8332
  Step 1/6 | Epoch 86/300 | alpha: 1.00 | D loss: 0.0116 | G loss: 7.9101
  Step 1/6 | Epoch 87/300 | alpha: 1.00 | D loss: 0.0092 | G loss: 7.9738
  Step 1/6 | Epoch 88/300 | alpha: 1.00 | D loss: 0.0086 | G loss: 8.1400
  Step 1/6 | Epoch 89/300 | alpha: 1.00 | D loss: 0.0105 | G loss: 8.3078
  Step 1/6 | Epoch 90/300 | alpha: 1.00 | D loss: 0.0106 | G loss: 8.4778
  Step 1/6 | Epoch 91/300 | alpha: 1.00 | D loss: 0.0095 | G loss: 8.4798
  Step 1/6 | Epoch 92/300 | alpha: 1.00 | D loss: 0.0089 | G loss: 8.6415
  Step 1/6 | Epoch 93/300 | alpha: 1.00 | D loss: 0.0048 | G loss: 8.6942
  Step 1/6 | Epoch 94/300 | alpha: 1.00 | D loss: 0.0091 | G loss: 8.7726
  Step 1/6 | Epoch 95/300 | alpha: 1.00 | D loss: 0.0087 | G loss: 8.7878
  Step 1/6 | Epoch 96/300 | alpha: 1.00 | D loss: 0.0095 | G loss: 8.7464
  Step 1/6 | Epoch 97/300 | alpha: 1.00 | D loss: 0.0104 | G loss: 8.7054
  Step 1/6 | Epoch 98/300 | alpha: 1.00 | D loss: 0.0101 | G loss: 8.6532
  Step 1/6 | Epoch 99/300 | alpha: 1.00 | D loss: 0.0087 | G loss: 8.6137
  Step 1/6 | Epoch 100/300 | alpha: 1.00 | D loss: 0.0088 | G loss: 8.5984
  Step 1/6 | Epoch 101/300 | alpha: 1.00 | D loss: 0.0097 | G loss: 8.5765
  Step 1/6 | Epoch 102/300 | alpha: 1.00 | D loss: 0.0079 | G loss: 8.6076
  Step 1/6 | Epoch 103/300 | alpha: 1.00 | D loss: 0.0044 | G loss: 8.6100
  Step 1/6 | Epoch 104/300 | alpha: 1.00 | D loss: 0.0051 | G loss: 8.6356
  Step 1/6 | Epoch 105/300 | alpha: 1.00 | D loss: 0.0088 | G loss: 8.6025
  Step 1/6 | Epoch 106/300 | alpha: 1.00 | D loss: 0.0096 | G loss: 8.6207
  Step 1/6 | Epoch 107/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 8.7077
  Step 1/6 | Epoch 108/300 | alpha: 1.00 | D loss: 0.0086 | G loss: 8.6896
  Step 1/6 | Epoch 109/300 | alpha: 1.00 | D loss: 0.0114 | G loss: 8.6632
  Step 1/6 | Epoch 110/300 | alpha: 1.00 | D loss: 0.0118 | G loss: 8.6736
  Step 1/6 | Epoch 111/300 | alpha: 1.00 | D loss: 0.0105 | G loss: 8.6383
  Step 1/6 | Epoch 112/300 | alpha: 1.00 | D loss: 0.0104 | G loss: 8.6176
  Step 1/6 | Epoch 113/300 | alpha: 1.00 | D loss: 0.0114 | G loss: 8.5598
  Step 1/6 | Epoch 114/300 | alpha: 1.00 | D loss: 0.0099 | G loss: 8.6241
  Step 1/6 | Epoch 115/300 | alpha: 1.00 | D loss: 0.0116 | G loss: 8.7384
  Step 1/6 | Epoch 116/300 | alpha: 1.00 | D loss: 0.0111 | G loss: 8.7382
  Step 1/6 | Epoch 117/300 | alpha: 1.00 | D loss: 0.0114 | G loss: 8.8767
  Step 1/6 | Epoch 118/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 8.9235
  Step 1/6 | Epoch 119/300 | alpha: 1.00 | D loss: 0.0106 | G loss: 9.0632
  Step 1/6 | Epoch 120/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 9.0758
  Step 1/6 | Epoch 121/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.0552
  Step 1/6 | Epoch 122/300 | alpha: 1.00 | D loss: 0.0102 | G loss: 9.1381
  Step 1/6 | Epoch 123/300 | alpha: 1.00 | D loss: 0.0074 | G loss: 9.2234
  Step 1/6 | Epoch 124/300 | alpha: 1.00 | D loss: 0.0076 | G loss: 9.2714
  Step 1/6 | Epoch 125/300 | alpha: 1.00 | D loss: 0.0115 | G loss: 9.3632
  Step 1/6 | Epoch 126/300 | alpha: 1.00 | D loss: 0.0093 | G loss: 9.3837
  Step 1/6 | Epoch 127/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 9.3580
  Step 1/6 | Epoch 128/300 | alpha: 1.00 | D loss: 0.0093 | G loss: 9.3514
  Step 1/6 | Epoch 129/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 9.3325
  Step 1/6 | Epoch 130/300 | alpha: 1.00 | D loss: 0.0135 | G loss: 9.4402
  Step 1/6 | Epoch 131/300 | alpha: 1.00 | D loss: 0.0129 | G loss: 9.4425
  Step 1/6 | Epoch 132/300 | alpha: 1.00 | D loss: 0.0146 | G loss: 9.4541
  Step 1/6 | Epoch 133/300 | alpha: 1.00 | D loss: 0.0124 | G loss: 9.4654
  Step 1/6 | Epoch 134/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 9.4159
  Step 1/6 | Epoch 135/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 9.4469
  Step 1/6 | Epoch 136/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.4289
  Step 1/6 | Epoch 137/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.4418
  Step 1/6 | Epoch 138/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.3293
  Step 1/6 | Epoch 139/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.3848
  Step 1/6 | Epoch 140/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 9.3463
  Step 1/6 | Epoch 141/300 | alpha: 1.00 | D loss: 0.0106 | G loss: 9.4408
  Step 1/6 | Epoch 142/300 | alpha: 1.00 | D loss: 0.0128 | G loss: 9.4019
  Step 1/6 | Epoch 143/300 | alpha: 1.00 | D loss: 0.0118 | G loss: 9.3243
  Step 1/6 | Epoch 144/300 | alpha: 1.00 | D loss: 0.0107 | G loss: 9.3763
  Step 1/6 | Epoch 145/300 | alpha: 1.00 | D loss: 0.0095 | G loss: 9.3763
  Step 1/6 | Epoch 146/300 | alpha: 1.00 | D loss: 0.0084 | G loss: 9.3642
  Step 1/6 | Epoch 147/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.3477
  Step 1/6 | Epoch 148/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 9.4099
  Step 1/6 | Epoch 149/300 | alpha: 1.00 | D loss: 0.0119 | G loss: 9.4256
