[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/5 | Epoch 1/300 | alpha: 1.00 | D loss: -0.2947 | G loss: 1.2068
  Step 1/5 | Epoch 2/300 | alpha: 1.00 | D loss: -0.0529 | G loss: -0.1430
  Step 1/5 | Epoch 3/300 | alpha: 1.00 | D loss: 0.0271 | G loss: -0.4950
  Step 1/5 | Epoch 4/300 | alpha: 1.00 | D loss: 0.0618 | G loss: -0.5857
  Step 1/5 | Epoch 5/300 | alpha: 1.00 | D loss: 0.1004 | G loss: -0.1627
  Step 1/5 | Epoch 6/300 | alpha: 1.00 | D loss: 0.0680 | G loss: -0.1483
  Step 1/5 | Epoch 7/300 | alpha: 1.00 | D loss: 0.0503 | G loss: -0.0940
  Step 1/5 | Epoch 8/300 | alpha: 1.00 | D loss: 0.0317 | G loss: -0.1223
  Step 1/5 | Epoch 9/300 | alpha: 1.00 | D loss: 0.0217 | G loss: 0.4012
  Step 1/5 | Epoch 10/300 | alpha: 1.00 | D loss: 0.0229 | G loss: 1.0203
  Step 1/5 | Epoch 11/300 | alpha: 1.00 | D loss: 0.0162 | G loss: 1.9941
  Step 1/5 | Epoch 12/300 | alpha: 1.00 | D loss: 0.0040 | G loss: 2.1033
  Step 1/5 | Epoch 13/300 | alpha: 1.00 | D loss: -0.0142 | G loss: 1.6688
  Step 1/5 | Epoch 14/300 | alpha: 1.00 | D loss: -0.0178 | G loss: 2.1866
  Step 1/5 | Epoch 15/300 | alpha: 1.00 | D loss: -0.0190 | G loss: 2.5862
  Step 1/5 | Epoch 16/300 | alpha: 1.00 | D loss: -0.0182 | G loss: 3.0470
  Step 1/5 | Epoch 17/300 | alpha: 1.00 | D loss: -0.0155 | G loss: 3.8200
  Step 1/5 | Epoch 18/300 | alpha: 1.00 | D loss: -0.0021 | G loss: 4.6154
  Step 1/5 | Epoch 19/300 | alpha: 1.00 | D loss: 0.0026 | G loss: 5.7568
  Step 1/5 | Epoch 20/300 | alpha: 1.00 | D loss: 0.0289 | G loss: 7.4468
  Step 1/5 | Epoch 21/300 | alpha: 1.00 | D loss: 0.0267 | G loss: 8.5635
  Step 1/5 | Epoch 22/300 | alpha: 1.00 | D loss: 0.0336 | G loss: 9.1082
  Step 1/5 | Epoch 23/300 | alpha: 1.00 | D loss: 0.0302 | G loss: 9.2737
  Step 1/5 | Epoch 24/300 | alpha: 1.00 | D loss: 0.0168 | G loss: 9.3920
  Step 1/5 | Epoch 25/300 | alpha: 1.00 | D loss: 0.0150 | G loss: 9.5335
  Step 1/5 | Epoch 26/300 | alpha: 1.00 | D loss: 0.0100 | G loss: 9.6112
  Step 1/5 | Epoch 27/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 9.7129
  Step 1/5 | Epoch 28/300 | alpha: 1.00 | D loss: 0.0208 | G loss: 10.0153
  Step 1/5 | Epoch 29/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 10.1656
  Step 1/5 | Epoch 30/300 | alpha: 1.00 | D loss: 0.0230 | G loss: 10.2105
  Step 1/5 | Epoch 31/300 | alpha: 1.00 | D loss: 0.0278 | G loss: 10.1562
  Step 1/5 | Epoch 32/300 | alpha: 1.00 | D loss: 0.0284 | G loss: 10.3168
  Step 1/5 | Epoch 33/300 | alpha: 1.00 | D loss: 0.0307 | G loss: 10.3165
  Step 1/5 | Epoch 34/300 | alpha: 1.00 | D loss: 0.0484 | G loss: 10.2404
  Step 1/5 | Epoch 35/300 | alpha: 1.00 | D loss: 0.0451 | G loss: 10.0402
  Step 1/5 | Epoch 36/300 | alpha: 1.00 | D loss: 0.0402 | G loss: 9.8535
  Step 1/5 | Epoch 37/300 | alpha: 1.00 | D loss: 0.0486 | G loss: 9.7896
  Step 1/5 | Epoch 38/300 | alpha: 1.00 | D loss: 0.0448 | G loss: 9.7406
  Step 1/5 | Epoch 39/300 | alpha: 1.00 | D loss: 0.0489 | G loss: 9.7144
  Step 1/5 | Epoch 40/300 | alpha: 1.00 | D loss: 0.0490 | G loss: 9.8412
  Step 1/5 | Epoch 41/300 | alpha: 1.00 | D loss: 0.0382 | G loss: 10.1510
  Step 1/5 | Epoch 42/300 | alpha: 1.00 | D loss: 0.0359 | G loss: 10.3686
  Step 1/5 | Epoch 43/300 | alpha: 1.00 | D loss: 0.0328 | G loss: 10.2079
  Step 1/5 | Epoch 44/300 | alpha: 1.00 | D loss: 0.0371 | G loss: 10.2824
  Step 1/5 | Epoch 45/300 | alpha: 1.00 | D loss: 0.0411 | G loss: 10.4180
  Step 1/5 | Epoch 46/300 | alpha: 1.00 | D loss: 0.0428 | G loss: 10.2421
  Step 1/5 | Epoch 47/300 | alpha: 1.00 | D loss: 0.0411 | G loss: 10.3254
  Step 1/5 | Epoch 48/300 | alpha: 1.00 | D loss: 0.0434 | G loss: 10.4078
  Step 1/5 | Epoch 49/300 | alpha: 1.00 | D loss: 0.0442 | G loss: 10.4817
  Step 1/5 | Epoch 50/300 | alpha: 1.00 | D loss: 0.0468 | G loss: 10.6455
  Step 1/5 | Epoch 51/300 | alpha: 1.00 | D loss: 0.0459 | G loss: 10.5747
  Step 1/5 | Epoch 52/300 | alpha: 1.00 | D loss: 0.0457 | G loss: 10.3378
  Step 1/5 | Epoch 53/300 | alpha: 1.00 | D loss: 0.0391 | G loss: 10.4229
  Step 1/5 | Epoch 54/300 | alpha: 1.00 | D loss: 0.0416 | G loss: 10.3287
  Step 1/5 | Epoch 55/300 | alpha: 1.00 | D loss: 0.0423 | G loss: 10.2199
  Step 1/5 | Epoch 56/300 | alpha: 1.00 | D loss: 0.0433 | G loss: 10.2126
  Step 1/5 | Epoch 57/300 | alpha: 1.00 | D loss: 0.0459 | G loss: 10.1724
  Step 1/5 | Epoch 58/300 | alpha: 1.00 | D loss: 0.0461 | G loss: 10.2823
  Step 1/5 | Epoch 59/300 | alpha: 1.00 | D loss: 0.0458 | G loss: 10.2907
  Step 1/5 | Epoch 60/300 | alpha: 1.00 | D loss: 0.0496 | G loss: 10.2469
  Step 1/5 | Epoch 61/300 | alpha: 1.00 | D loss: 0.0520 | G loss: 10.3246
  Step 1/5 | Epoch 62/300 | alpha: 1.00 | D loss: 0.0547 | G loss: 10.5681
  Step 1/5 | Epoch 63/300 | alpha: 1.00 | D loss: 0.0534 | G loss: 10.8470
  Step 1/5 | Epoch 64/300 | alpha: 1.00 | D loss: 0.0532 | G loss: 10.8513
  Step 1/5 | Epoch 65/300 | alpha: 1.00 | D loss: 0.0492 | G loss: 11.0572
  Step 1/5 | Epoch 66/300 | alpha: 1.00 | D loss: 0.0516 | G loss: 11.1953
  Step 1/5 | Epoch 67/300 | alpha: 1.00 | D loss: 0.0538 | G loss: 11.1580
  Step 1/5 | Epoch 68/300 | alpha: 1.00 | D loss: 0.0569 | G loss: 10.9046
  Step 1/5 | Epoch 69/300 | alpha: 1.00 | D loss: 0.0502 | G loss: 11.1915
  Step 1/5 | Epoch 70/300 | alpha: 1.00 | D loss: 0.0510 | G loss: 11.3486
  Step 1/5 | Epoch 71/300 | alpha: 1.00 | D loss: 0.0485 | G loss: 11.6386
  Step 1/5 | Epoch 72/300 | alpha: 1.00 | D loss: 0.0505 | G loss: 11.5850
  Step 1/5 | Epoch 73/300 | alpha: 1.00 | D loss: 0.0511 | G loss: 11.5258
  Step 1/5 | Epoch 74/300 | alpha: 1.00 | D loss: 0.0525 | G loss: 11.6301
  Step 1/5 | Epoch 75/300 | alpha: 1.00 | D loss: 0.0545 | G loss: 11.5790
  Step 1/5 | Epoch 76/300 | alpha: 1.00 | D loss: 0.0536 | G loss: 11.2866
  Step 1/5 | Epoch 77/300 | alpha: 1.00 | D loss: 0.0546 | G loss: 11.6875
  Step 1/5 | Epoch 78/300 | alpha: 1.00 | D loss: 0.0527 | G loss: 11.5848
  Step 1/5 | Epoch 79/300 | alpha: 1.00 | D loss: 0.0539 | G loss: 11.7806
  Step 1/5 | Epoch 80/300 | alpha: 1.00 | D loss: 0.0512 | G loss: 11.8179
  Step 1/5 | Epoch 81/300 | alpha: 1.00 | D loss: 0.0534 | G loss: 11.6223
  Step 1/5 | Epoch 82/300 | alpha: 1.00 | D loss: 0.0530 | G loss: 11.7088
  Step 1/5 | Epoch 83/300 | alpha: 1.00 | D loss: 0.0514 | G loss: 11.6858
  Step 1/5 | Epoch 84/300 | alpha: 1.00 | D loss: 0.0538 | G loss: 11.5639
  Step 1/5 | Epoch 85/300 | alpha: 1.00 | D loss: 0.0567 | G loss: 11.4560
  Step 1/5 | Epoch 86/300 | alpha: 1.00 | D loss: 0.0587 | G loss: 11.0029
  Step 1/5 | Epoch 87/300 | alpha: 1.00 | D loss: 0.0570 | G loss: 11.2982
  Step 1/5 | Epoch 88/300 | alpha: 1.00 | D loss: 0.0576 | G loss: 11.1926
  Step 1/5 | Epoch 89/300 | alpha: 1.00 | D loss: 0.0573 | G loss: 11.1950
  Step 1/5 | Epoch 90/300 | alpha: 1.00 | D loss: 0.0552 | G loss: 11.1185
  Step 1/5 | Epoch 91/300 | alpha: 1.00 | D loss: 0.0537 | G loss: 11.1345
  Step 1/5 | Epoch 92/300 | alpha: 1.00 | D loss: 0.0543 | G loss: 11.1211
  Step 1/5 | Epoch 93/300 | alpha: 1.00 | D loss: 0.0531 | G loss: 11.1560
  Step 1/5 | Epoch 94/300 | alpha: 1.00 | D loss: 0.0561 | G loss: 10.9931
  Step 1/5 | Epoch 95/300 | alpha: 1.00 | D loss: 0.0559 | G loss: 11.1091
  Step 1/5 | Epoch 96/300 | alpha: 1.00 | D loss: 0.0543 | G loss: 11.1357
  Step 1/5 | Epoch 97/300 | alpha: 1.00 | D loss: 0.0532 | G loss: 11.0476
  Step 1/5 | Epoch 98/300 | alpha: 1.00 | D loss: 0.0527 | G loss: 11.0802
  Step 1/5 | Epoch 99/300 | alpha: 1.00 | D loss: 0.0526 | G loss: 10.9724
  Step 1/5 | Epoch 100/300 | alpha: 1.00 | D loss: 0.0525 | G loss: 10.9666
  Step 1/5 | Epoch 101/300 | alpha: 1.00 | D loss: 0.0503 | G loss: 11.1181
  Step 1/5 | Epoch 102/300 | alpha: 1.00 | D loss: 0.0498 | G loss: 11.3207
  Step 1/5 | Epoch 103/300 | alpha: 1.00 | D loss: 0.0465 | G loss: 11.3599
  Step 1/5 | Epoch 104/300 | alpha: 1.00 | D loss: 0.0478 | G loss: 11.5272
  Step 1/5 | Epoch 105/300 | alpha: 1.00 | D loss: 0.0484 | G loss: 11.6653
  Step 1/5 | Epoch 106/300 | alpha: 1.00 | D loss: 0.0498 | G loss: 11.7558
  Step 1/5 | Epoch 107/300 | alpha: 1.00 | D loss: 0.0467 | G loss: 11.8581
  Step 1/5 | Epoch 108/300 | alpha: 1.00 | D loss: 0.0514 | G loss: 11.9992
  Step 1/5 | Epoch 109/300 | alpha: 1.00 | D loss: 0.0516 | G loss: 12.1512
  Step 1/5 | Epoch 110/300 | alpha: 1.00 | D loss: 0.0522 | G loss: 12.1569
  Step 1/5 | Epoch 111/300 | alpha: 1.00 | D loss: 0.0542 | G loss: 12.3286
  Step 1/5 | Epoch 112/300 | alpha: 1.00 | D loss: 0.0532 | G loss: 12.4394
  Step 1/5 | Epoch 113/300 | alpha: 1.00 | D loss: 0.0577 | G loss: 12.5004
  Step 1/5 | Epoch 114/300 | alpha: 1.00 | D loss: 0.0547 | G loss: 12.2817
  Step 1/5 | Epoch 115/300 | alpha: 1.00 | D loss: 0.0546 | G loss: 12.4714
  Step 1/5 | Epoch 116/300 | alpha: 1.00 | D loss: 0.0553 | G loss: 12.3594
  Step 1/5 | Epoch 117/300 | alpha: 1.00 | D loss: 0.0566 | G loss: 12.3764
  Step 1/5 | Epoch 118/300 | alpha: 1.00 | D loss: 0.0559 | G loss: 12.4956
  Step 1/5 | Epoch 119/300 | alpha: 1.00 | D loss: 0.0530 | G loss: 12.5116
  Step 1/5 | Epoch 120/300 | alpha: 1.00 | D loss: 0.0538 | G loss: 12.6614
  Step 1/5 | Epoch 121/300 | alpha: 1.00 | D loss: 0.0544 | G loss: 12.8554
  Step 1/5 | Epoch 122/300 | alpha: 1.00 | D loss: 0.0511 | G loss: 12.9585
  Step 1/5 | Epoch 123/300 | alpha: 1.00 | D loss: 0.0508 | G loss: 12.9913
  Step 1/5 | Epoch 124/300 | alpha: 1.00 | D loss: 0.0517 | G loss: 12.9551
  Step 1/5 | Epoch 125/300 | alpha: 1.00 | D loss: 0.0488 | G loss: 12.8570
  Step 1/5 | Epoch 126/300 | alpha: 1.00 | D loss: 0.0487 | G loss: 12.7928
  Step 1/5 | Epoch 127/300 | alpha: 1.00 | D loss: 0.0478 | G loss: 12.7035
  Step 1/5 | Epoch 128/300 | alpha: 1.00 | D loss: 0.0470 | G loss: 12.6039
  Step 1/5 | Epoch 129/300 | alpha: 1.00 | D loss: 0.0477 | G loss: 12.6631
  Step 1/5 | Epoch 130/300 | alpha: 1.00 | D loss: 0.0471 | G loss: 12.7168
  Step 1/5 | Epoch 131/300 | alpha: 1.00 | D loss: 0.0473 | G loss: 12.6238
  Step 1/5 | Epoch 132/300 | alpha: 1.00 | D loss: 0.0463 | G loss: 12.6112
  Step 1/5 | Epoch 133/300 | alpha: 1.00 | D loss: 0.0445 | G loss: 12.7465
  Step 1/5 | Epoch 134/300 | alpha: 1.00 | D loss: 0.0446 | G loss: 12.7410
  Step 1/5 | Epoch 135/300 | alpha: 1.00 | D loss: 0.0440 | G loss: 12.5044
